n_ID	s_CONDITOIN	s_ACTION
1013	BUFF_I(10901,0,1);DISTANCE_ENEMY>(300);RATE(60)\nBUFF_I(10901,0,1)\nBUFF_I(10902,0,1);BUFF_I(4982,0,0);DISTANCE_ENEMY<(400);RATE(10)\nBUFF_I(10902,0,1);DISTANCE_ENEMY>(300);RATE(60)\nBUFF_I(10902,0,1)\nBUFF_I(10903,0,1);BUFF_I(4982,0,0);DISTANCE_ENEMY<(400);RATE(10)\nBUFF_I(10903,0,1);BUFF_I(4981,0,0);DISTANCE_ENEMY>(300);RATE(10)\nBUFF_I(10903,0,1);DISTANCE_ENEMY>(300);RATE(75)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);BUFF_I(4984,0,0);HP_ALLY<(0.4);RATE(20)\nBUFF_I(10904,0,1);BUFF_I(4982,0,0);DISTANCE_ENEMY<(400);RATE(10)\nBUFF_I(10904,0,1);BUFF_I(4981,0,0);DISTANCE_ENEMY>(300);RATE(10)\nBUFF_I(10904,0,1);DISTANCE_ENEMY>(300);RATE(85)\nBUFF_I(10904,0,1)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(1)\nCHASE(3)\nCHASE(4)\nCHASE(2)\nCHASE(1)\nCHASE(5)\nCHASE(3)\nCHASE(4)\nCHASE(2)\nCHASE(1)\nCHASE(2)
1014	BUFF_I(10901,0,1)\nBUFF_I(10902,0,1);BUFF_I(4980,0,0);RATE(15)\nBUFF_I(10902,0,1)\nBUFF_I(10903,0,1);BUFF_I(4980,0,0);RATE(15)\nBUFF_I(10903,0,1);BUFF_I(4982,0,0);RATE(15)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);BUFF_I(4983,0,0);RATE(10)\nBUFF_I(10904,0,1);BUFF_I(4980,0,0);RATE(20)\nBUFF_I(10904,0,1);BUFF_I(4982,0,0);RATE(15)\nBUFF_I(10904,0,1)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(4)\nCHASE(1)\nCHASE(5)\nCHASE(3)\nCHASE(4)\nCHASE(1)\nCHASE(1)
1015	BUFF_I(10901,0,1)\nBUFF_I(10902,0,1);DISTANCE_ENEMY>(300);RATE(50)\nBUFF_I(10902,0,1)\nBUFF_I(10903,0,1);KD_ENEMY(1);RATE(50)\nBUFF_I(10903,0,1);BUFF_I(4980,0,0);DISTANCE_ENEMY>(300);RATE(50)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);KD_ENEMY(1)\nBUFF_I(10904,0,1);BUFF_I(4980,0,0);DISTANCE_ENEMY>(300);RATE(30)\nBUFF_I(10904,0,1);RATE(70)\nBUFF_I(10904,0,1);BUFF_I(4984,0,0);HP_ALLY<(0.5)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(1)
1016	BUFF_I(10901,0,1)\nBUFF_I(10902,0,1);DISTANCE_ENEMY>(400);RATE(20)\nBUFF_I(10902,0,1)\nBUFF_I(10903,0,1);DISTANCE_ENEMY>(400)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);BUFF_I(4981,0,0);RATE(30)\nBUFF_I(10904,0,1);DISTANCE_ENEMY>(400)\nBUFF_I(10904,0,1)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(1)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(1)
1017	BUFF_I(10901,0,1)\nBUFF_I(10902,0,1);DISTANCE_ENEMY>(400);BUFF_I(4980,0,0)\nBUFF_I(10902,0,1)\nBUFF_I(10903,0,1);DISTANCE_ENEMY<(500);BUFF_I(4981,0,0);RATE(20)\nBUFF_I(10903,0,1);DISTANCE_ENEMY>(400);BUFF_I(4980,0,0)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);BUFF_I(4983,0,0);RATE(30)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(500);BUFF_I(4981,0,0);RATE(30)\nBUFF_I(10904,0,1);DISTANCE_ENEMY>(400);RATE(20)\nBUFF_I(10904,0,1)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(1)
1018	BUFF_I(10901,0,1)\nBUFF_I(10902,0,1);KD_ENEMY(1);DISTANCE_ENEMY<(300)\nBUFF_I(10902,0,1);BUFF_I(4982,0,0);RATE(10)\nBUFF_I(10902,0,1)\nBUFF_I(10903,0,1);KD_ENEMY(1);DISTANCE_ENEMY<(300)\nBUFF_I(10903,0,1);BUFF_I(4987,0,0);DISTANCE_ENEMY>(300);RATE(15)\nBUFF_I(10903,0,1);BUFF_I(4982,0,0);RATE(10)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);HP_ALLY<(0.6);BUFF_I(4983,0,0);RATE(10)\nBUFF_I(10904,0,1);KD_ENEMY(1);DISTANCE_ENEMY<(300)\nBUFF_I(10904,0,1);BUFF_I(4987,0,0);DISTANCE_ENEMY>(300);RATE(20)\nBUFF_I(10904,0,1);BUFF_I(4982,0,0);RATE(10)\nBUFF_I(10904,0,1)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(1)\nCHASE(2)\nCHASE(4)\nCHASE(3)\nCHASE(1)\nCHASE(5)\nCHASE(2)\nCHASE(4)\nCHASE(3)\nCHASE(1)\nCHASE(1)
1019	BUFF_I(10901,0,1);DISTANCE_ENEMY>(300);RATE(60)\nBUFF_I(10901,0,1)\nBUFF_I(10902,0,1);BUFF_I(4982,0,0);DISTANCE_ENEMY<(400);RATE(10)\nBUFF_I(10902,0,1);DISTANCE_ENEMY>(300);RATE(60)\nBUFF_I(10902,0,1)\nBUFF_I(10903,0,1);BUFF_I(4982,0,0);DISTANCE_ENEMY<(400);RATE(10)\nBUFF_I(10903,0,1);BUFF_I(4981,0,0);DISTANCE_ENEMY>(300);RATE(10)\nBUFF_I(10903,0,1);DISTANCE_ENEMY>(300);RATE(75)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);BUFF_I(4984,0,0);HP_ALLY<(0.4);RATE(20)\nBUFF_I(10904,0,1);BUFF_I(4982,0,0);DISTANCE_ENEMY<(400);RATE(10)\nBUFF_I(10904,0,1);BUFF_I(4981,0,0);DISTANCE_ENEMY>(300);RATE(10)\nBUFF_I(10904,0,1);DISTANCE_ENEMY>(300);RATE(85)\nBUFF_I(10904,0,1)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(1)\nCHASE(3)\nCHASE(4)\nCHASE(2)\nCHASE(1)\nCHASE(5)\nCHASE(3)\nCHASE(4)\nCHASE(2)\nCHASE(1)\nCHASE(2)
1020	BUFF_I(10901,0,1);RATE(50)\nBUFF_I(10901,0,1);BUFF_I(10912,0,1);BUFF_I(4982,0,0);RATE(75)\nBUFF_I(10902,0,1);BUFF_I(10913,0,1);BUFF_I(4980,0,0);DISTANCE_ENEMY>(600)\nBUFF_I(10902,0,1);BUFF_I(10912,0,1);BUFF_I(4982,0,0);RATE(75)\nBUFF_I(10902,0,1)\nBUFF_I(10903,0,1);BUFF_I(10913,0,1);BUFF_I(4980,0,0);DISTANCE_ENEMY>(600)\nBUFF_I(10903,0,1);BUFF_I(10914,0,1);RATE(33)\nBUFF_I(10903,0,1);BUFF_I(10912,0,1);BUFF_I(4982,0,0)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);BUFF_I(10913,0,1);BUFF_I(4980,0,0);DISTANCE_ENEMY>(600)\nBUFF_I(10904,0,1);BUFF_I(10915,0,1);BUFF_I(4983,0,0);DISTANCE_ENEMY>(400)\nBUFF_I(10904,0,1);BUFF_I(10914,0,1);RATE(50)\nBUFF_I(10904,0,1);BUFF_I(10912,0,1);BUFF_I(4982,0,0)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(4)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(5)\nCHASE(4)\nCHASE(2)\nCHASE(1)
1021	BUFF_I(10901,0,1);DISTANCE_ENEMY<(250);RATE(40)\nBUFF_I(10901,0,1)\nBUFF_I(10902,0,1);DISTANCE_ENEMY<(250);BUFF_I(4981,0,0);RATE(20)\nBUFF_I(10902,0,1);DISTANCE_ENEMY<(250);RATE(40)\nBUFF_I(10902,0,1)\nBUFF_I(10903,0,1);DISTANCE_ENEMY>(400);BUFF_I(4982,0,0);RATE(20)\nBUFF_I(10903,0,1);DISTANCE_ENEMY<(250);BUFF_I(4981,0,0);RATE(20)\nBUFF_I(10903,0,1);DISTANCE_ENEMY<(250);RATE(40)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);DISTANCE_ENEMY>(400);BUFF_I(4982,0,0);RATE(10)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(250);BUFF_I(4981,0,0);RATE(20)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(250);RATE(40)\nBUFF_I(10904,0,1);DISTANCE_ENEMY>(300);BUFF_I(4983,0,0);RATE(25)\nBUFF_I(10904,0,1)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(5)\nCHASE(1)\nCHASE(1)
1022	BUFF_I(10901,0,1)\nBUFF_I(10902,0,1);RATE(5)\nBUFF_I(10902,0,1)\nBUFF_I(10903,0,1);BUFF_I(4988,0,0);RATE(15)\nBUFF_I(10903,0,1);RATE(5)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);BUFF_I(4984,0,0);RATE(10)\nBUFF_I(10904,0,1);BUFF_I(4988,0,0);RATE(15)\nBUFF_I(10904,0,1);RATE(5)\nBUFF_I(10904,0,1)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(1)
1023	BUFF_I(10901,0,1);RATE(70)\nBUFF_I(10901,0,1);BUFF_I(10912,0,1);BUFF_I(4982,0,0)\nBUFF_I(10902,0,1);RATE(30)\nBUFF_I(10902,0,1);BUFF_I(10912,0,1);BUFF_I(4982,0,0);RATE(30)\nBUFF_I(10902,0,1);BUFF_I(10913,0,1);BUFF_I(4980,0,0);DISTANCE_ENEMY>(650)\nBUFF_I(10903,0,1);BUFF_I(10913,0,1);BUFF_I(4980,0,0);DISTANCE_ENEMY>(650)\nBUFF_I(10903,0,1);RATE(30)\nBUFF_I(10903,0,1);BUFF_I(10912,0,1);RATE(30)\nBUFF_I(10903,0,1);BUFF_I(10915,0,1);BUFF_I(4985,0,0);DISTANCE_ENEMY<(650)\nBUFF_I(10904,0,1);BUFF_I(10913,0,1);BUFF_I(4980,0,0);DISTANCE_ENEMY>(650)\nBUFF_I(10904,0,1);BUFF_I(10914,0,1);BUFF_I(4982,0,0)\nBUFF_I(10904,0,1);BUFF_I(10915,0,1);BUFF_I(4985,0,0)\nBUFF_I(10904,0,1);RATE(30)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(3)\nCHASE(1)\nCHASE(2)\nCHASE(5)\nCHASE(3)\nCHASE(4)\nCHASE(5)\nCHASE(1)\nCHASE(1)
1024	BUFF_I(10901,0,1)\nBUFF_I(10902,0,1);BUFF_I(4980,0,0);RATE(10)\nBUFF_I(10902,0,1)\nBUFF_I(10903,0,1);BUFF_I(4980,0,0);RATE(20)\nBUFF_I(10903,0,1);BUFF_I(4982,0,0);RATE(10)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);BUFF_I(4980,0,0)\nBUFF_I(10904,0,1);BUFF_I(4982,0,0);RATE(35)\nBUFF_I(10904,0,1);RATE(40)\nBUFF_I(10904,0,1);RATE(15)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(1)\nCHASE(3)\nCHASE(1)
1025	BUFF_I(10901,0,1);DISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(50)\nBUFF_I(10901,0,1)\nBUFF_I(10902,0,1);DISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(50)\nBUFF_I(10902,0,1);DISTANCE_ENEMY<(700);RATE(50)\nBUFF_I(10902,0,1);DISTANCE_ENEMY<(700);BUFF_I(4981,0,0);RATE(50)\nBUFF_I(10903,0,1);DISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(50)\nBUFF_I(10903,0,1);DISTANCE_ENEMY<(700);RATE(50)\nBUFF_I(10903,0,1);DISTANCE_ENEMY<(700);BUFF_I(4981,0,0);RATE(50)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(700);BUFF_I(4980,0,0);RATE(50)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(700);RATE(50)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(700);BUFF_I(4981,0,0);RATE(50)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(700);BUFF_I(4990,0,0);RATE(50)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(5)\nCHASE(1)
1026	BUFF_I(10901,0,1);DISTANCE_ENEMY<(250);RATE(40)\nBUFF_I(10901,0,1)\nBUFF_I(10902,0,1);DISTANCE_ENEMY<(250);BUFF_I(4981,0,0);RATE(20)\nBUFF_I(10902,0,1);DISTANCE_ENEMY<(250);RATE(40)\nBUFF_I(10902,0,1)\nBUFF_I(10903,0,1);DISTANCE_ENEMY>(400);BUFF_I(4982,0,0);RATE(20)\nBUFF_I(10903,0,1);DISTANCE_ENEMY<(250);BUFF_I(4981,0,0);RATE(20)\nBUFF_I(10903,0,1);DISTANCE_ENEMY<(250);RATE(40)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);DISTANCE_ENEMY>(400);BUFF_I(4982,0,0);RATE(10)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(250);BUFF_I(4981,0,0);RATE(20)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(250);RATE(40)\nBUFF_I(10904,0,1);DISTANCE_ENEMY>(300);BUFF_I(4983,0,0);RATE(25)\nBUFF_I(10904,0,1)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(5)\nCHASE(1)\nCHASE(1)
1027	BUFF_I(10901,0,1);DISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(50)\nBUFF_I(10901,0,1)\nBUFF_I(10902,0,1);DISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(50)\nBUFF_I(10902,0,1);DISTANCE_ENEMY<(700);RATE(50)\nBUFF_I(10902,0,1);DISTANCE_ENEMY<(700);BUFF_I(4982,0,0);RATE(50)\nBUFF_I(10903,0,1);DISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(50)\nBUFF_I(10903,0,1);DISTANCE_ENEMY<(700);RATE(50)\nBUFF_I(10903,0,1);DISTANCE_ENEMY<(700);BUFF_I(4982,0,0);RATE(50)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(700);BUFF_I(4982,0,0);RATE(50)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(700);RATE(50)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(700);BUFF_I(4982,0,0);RATE(50)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(700);BUFF_I(4990,0,0);RATE(50)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(5)\nCHASE(1)
1028	BUFF_I(10901,0,1)\nBUFF_I(10902,0,1);DISTANCE_ENEMY>(400);RATE(20)\nBUFF_I(10902,0,1)\nBUFF_I(10903,0,1);DISTANCE_ENEMY>(400)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);BUFF_I(4981,0,0);RATE(30)\nBUFF_I(10904,0,1);DISTANCE_ENEMY>(400)\nBUFF_I(10904,0,1)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(1)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(1)
1029	BUFF_I(10901,0,1);BUFF_I(10912,0,1);KD_ENEMY(1,302);DISTANCE_ENEMY<(350)\nBUFF_I(10901,0,1);BUFF_I(10912,0,1);KD_ENEMY(1,304);DISTANCE_ENEMY<(350)\nBUFF_I(10901,0,1)\nBUFF_I(10902,0,1);BUFF_I(10913,0,1);BUFF_I(4981,0,0);HP_ALLY<(0.6)\nBUFF_I(10902,0,1)\nBUFF_I(10902,0,1);BUFF_I(10912,0,1);KD_ENEMY(1,302);DISTANCE_ENEMY<(350)\nBUFF_I(10902,0,1);BUFF_I(10912,0,1);KD_ENEMY(1,304);DISTANCE_ENEMY<(350)\nBUFF_I(10903,0,1);BUFF_I(10914,0,1);BUFF_I(4980,0,0);DISTANCE_ENEMY>(400);RATE(35)\nBUFF_I(10903,0,1);BUFF_I(10913,0,1);BUFF_I(4981,0,0);HP_ALLY<(0.6)\nBUFF_I(10903,0,1);BUFF_I(10912,0,1);KD_ENEMY(1,302);DISTANCE_ENEMY<(350)\nBUFF_I(10903,0,1);BUFF_I(10912,0,1);KD_ENEMY(1,304);DISTANCE_ENEMY<(350)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);BUFF_I(10915,0,1);BUFF_I(4982,0,0)\nBUFF_I(10904,0,1);BUFF_I(10914,0,1);BUFF_I(4980,0,0);DISTANCE_ENEMY>(400)\nBUFF_I(10904,0,1);BUFF_I(10913,0,1);BUFF_I(4981,0,0);HP_ALLY<(0.6)\nBUFF_I(10904,0,1);BUFF_I(10912,0,1);KD_ENEMY(1,302);DISTANCE_ENEMY<(350)\nBUFF_I(10904,0,1);BUFF_I(10912,0,1);KD_ENEMY(1,304);DISTANCE_ENEMY<(350)\nGO(0)	CHASE(2)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(1)\nCHASE(2)\nCHASE(2)\nCHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(2)\nCHASE(1)\nCHASE(5)\nCHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(2)\nCHASE(1)
1030	BUFF_I(10901,0,1)\nBUFF_I(10902,0,1);BUFF_I(10912,0,1);RATE(5)\nBUFF_I(10902,0,1)\nBUFF_I(10903,0,1);BUFF_I(4988,0,0);BUFF_I(10913,0,1);RATE(15)\nBUFF_I(10903,0,1);BUFF_I(10912,0,1);RATE(5)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);BUFF_I(4983,0,0);BUFF_I(10914,0,1);RATE(10)\nBUFF_I(10904,0,1);BUFF_I(4988,0,0);BUFF_I(10913,0,1);RATE(15)\nBUFF_I(10904,0,1);BUFF_I(10912,0,1);RATE(5)\nBUFF_I(10904,0,1)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(1)
1031	BUFF_I(10901,0,1);RATE(65)\nBUFF_I(10901,0,1);BUFF_I(10912,0,1)\nBUFF_I(10902,0,1);BUFF_I(10913,0,1);DISTANCE_ENEMY>(800)\nBUFF_I(10902,0,1);RATE(40)\nBUFF_I(10902,0,1);BUFF_I(10912,0,1)\nBUFF_I(10903,0,1);BUFF_I(4981,0,0);BUFF_I(10914,0,1);DISTANCE_ENEMY<(1200);DISTANCE_ENEMY>(400)\nBUFF_I(10903,0,1);BUFF_I(10913,0,1);DISTANCE_ENEMY>(800)\nBUFF_I(10903,0,1);BUFF_I(10912,0,1);RATE(50)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);BUFF_I(4983,0,0);BUFF_I(10915,0,1);DISTANCE_ENEMY<(750)\nBUFF_I(10904,0,1);BUFF_I(4981,0,0);BUFF_I(10914,0,1);DISTANCE_ENEMY<(1200);DISTANCE_ENEMY>(400)\nBUFF_I(10904,0,1);BUFF_I(10913,0,1);DISTANCE_ENEMY>(800)\nBUFF_I(10904,0,1);BUFF_I(10912,0,1);RATE(70)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(1)\nCHASE(2)\nCHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(5)\nCHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(1)
1032	BUFF_I(10901,0,1);DISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(50)\nBUFF_I(10901,0,1)\nBUFF_I(10902,0,1);DISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(50)\nBUFF_I(10902,0,1);DISTANCE_ENEMY<(700);RATE(50)\nBUFF_I(10902,0,1);DISTANCE_ENEMY<(700);BUFF_I(4981,0,0);RATE(50)\nBUFF_I(10903,0,1);DISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(50)\nBUFF_I(10903,0,1);DISTANCE_ENEMY<(700);RATE(50)\nBUFF_I(10903,0,1);DISTANCE_ENEMY<(700);BUFF_I(4981,0,0);RATE(50)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(700);BUFF_I(4980,0,0);RATE(50)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(700);RATE(50)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(700);BUFF_I(4981,0,0);RATE(50)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(700);BUFF_I(4990,0,0);RATE(50)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(5)\nCHASE(1)
1033	BUFF_I(10901,0,1)\nBUFF_I(10902,0,1);DISTANCE_ENEMY<(700);RATE(30)\nBUFF_I(10902,0,1)\nBUFF_I(10903,0,1);DISTANCE_ENEMY<(700);RATE(30)\nBUFF_I(10903,0,1);BUFF_I(4983,0,0);RATE(30)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(700);RATE(30)\nBUFF_I(10904,0,1);RATE(15)\nBUFF_I(10904,0,1)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(2)
1034	BUFF_I(10901,0,1);BUFF_I(4982,0,0);BUFF_I(10912,0,1);RATE(20)\nBUFF_I(10901,0,1)\nBUFF_I(10902,0,1);BUFF_I(10913,0,1);BUFF_I(4980,0,0);HP_ALLY<(0.66)\nBUFF_I(10902,0,1);BUFF_I(10912,0,1);BUFF_I(4982,0,0);RATE(40)\nBUFF_I(10902,0,1)\nBUFF_I(10903,0,1);BUFF_I(10913,0,1);BUFF_I(4980,0,0);HP_ALLY<(0.66)\nBUFF_I(10903,0,1);BUFF_I(10914,0,1);BUFF_I(4983,0,0)\nBUFF_I(10903,0,1);BUFF_I(10912,0,1);BUFF_I(4982,0,0);RATE(75)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);BUFF_I(10915,0,1);BUFF_I(4988,0,0)\nBUFF_I(10904,0,1);BUFF_I(10913,0,1);BUFF_I(4980,0,0);HP_ALLY<(0.66)\nBUFF_I(10904,0,1);BUFF_I(10914,0,1);BUFF_I(4983,0,0)\nBUFF_I(10904,0,1);BUFF_I(10912,0,1);BUFF_I(4982,0,0)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(4)\nCHASE(2)\nCHASE(1)\nCHASE(5)\nCHASE(3)\nCHASE(4)\nCHASE(2)\nCHASE(1)
1035	BUFF_I(10901,0,1);DISTANCE_ENEMY>(300);RATE(60)\nBUFF_I(10901,0,1)\nBUFF_I(10902,0,1);BUFF_I(4982,0,0);DISTANCE_ENEMY<(400);RATE(10)\nBUFF_I(10902,0,1);DISTANCE_ENEMY>(300);RATE(60)\nBUFF_I(10902,0,1)\nBUFF_I(10903,0,1);BUFF_I(4982,0,0);DISTANCE_ENEMY<(400);RATE(10)\nBUFF_I(10903,0,1);BUFF_I(4981,0,0);DISTANCE_ENEMY>(300);RATE(10)\nBUFF_I(10903,0,1);DISTANCE_ENEMY>(300);RATE(75)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);BUFF_I(4984,0,0);HP_ALLY<(0.4);RATE(20)\nBUFF_I(10904,0,1);BUFF_I(4982,0,0);DISTANCE_ENEMY<(400);RATE(10)\nBUFF_I(10904,0,1);BUFF_I(4981,0,0);DISTANCE_ENEMY>(300);RATE(10)\nBUFF_I(10904,0,1);DISTANCE_ENEMY>(300);RATE(85)\nBUFF_I(10904,0,1)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(1)\nCHASE(3)\nCHASE(4)\nCHASE(2)\nCHASE(1)\nCHASE(5)\nCHASE(3)\nCHASE(4)\nCHASE(2)\nCHASE(1)\nCHASE(2)
1036	BUFF_I(10901,0,1)\nBUFF_I(10902,0,1);BUFF_I(4980,0,0);RATE(15)\nBUFF_I(10902,0,1)\nBUFF_I(10903,0,1);BUFF_I(4980,0,0);RATE(15)\nBUFF_I(10903,0,1);BUFF_I(4982,0,0);RATE(15)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);BUFF_I(4983,0,0);RATE(10)\nBUFF_I(10904,0,1);BUFF_I(4980,0,0);RATE(20)\nBUFF_I(10904,0,1);BUFF_I(4982,0,0);RATE(15)\nBUFF_I(10904,0,1)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(4)\nCHASE(1)\nCHASE(5)\nCHASE(3)\nCHASE(4)\nCHASE(1)\nCHASE(1)
1037	BUFF_I(10901,0,1)\nBUFF_I(10902,0,1);BUFF_I(4980,0,0);RATE(10)\nBUFF_I(10902,0,1)\nBUFF_I(10903,0,1);BUFF_I(4980,0,0);RATE(20)\nBUFF_I(10903,0,1);BUFF_I(4982,0,0);RATE(10)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);BUFF_I(4980,0,0)\nBUFF_I(10904,0,1);BUFF_I(4982,0,0);RATE(35)\nBUFF_I(10904,0,1);RATE(40)\nBUFF_I(10904,0,1);RATE(15)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(1)\nCHASE(3)\nCHASE(1)
